[http-bio-8888-exec-4] DEBUG com.finalproject.web.filter.LocalizationFilter  - Set locale to session
[http-bio-8888-exec-4] DEBUG com.finalproject.web.filter.LocalizationFilter  - Set locale to session
[http-bio-8888-exec-4] DEBUG com.finalproject.web.filter.LocalizationFilter  - Set bundle to session
[http-bio-8888-exec-8] INFO  com.finalproject.web.filter.AuthenticationFilter  - Page is not secured: /chart.png
[http-bio-8888-exec-8] INFO  com.finalproject.web.filter.StaticResourceFilter  - Do service, URI: /bank-system/ui/images/chart.png
[http-bio-8888-exec-8] INFO  com.finalproject.web.filter.StaticResourceFilter  - Static resource: /ui/images/chart.png
[http-bio-8888-exec-8] INFO  com.finalproject.web.filter.AuthenticationFilter  - Path: /chart.png
[http-bio-8888-exec-8] INFO  com.finalproject.web.filter.AuthenticationFilter  - Page is not secured: /chart.png
[http-bio-8888-exec-3] INFO  com.finalproject.web.filter.AuthenticationFilter  - Page is not secured: /banner3.jpg
[http-bio-8888-exec-3] INFO  com.finalproject.web.filter.StaticResourceFilter  - Do service, URI: /bank-system/ui/images/banner3.jpg
[http-bio-8888-exec-3] INFO  com.finalproject.web.filter.StaticResourceFilter  - Static resource: /ui/images/banner3.jpg
[http-bio-8888-exec-3] INFO  com.finalproject.web.filter.AuthenticationFilter  - Path: /banner3.jpg
[http-bio-8888-exec-3] INFO  com.finalproject.web.filter.AuthenticationFilter  - Page is not secured: /banner3.jpg
[http-bio-8888-exec-8] INFO  com.finalproject.web.filter.AuthenticationFilter  - Path: /date.png
[http-bio-8888-exec-9] INFO  com.finalproject.web.filter.AuthenticationFilter  - Path: /hand.png
[http-bio-8888-exec-9] INFO  com.finalproject.web.filter.AuthenticationFilter  - Page is not secured: /hand.png
[http-bio-8888-exec-9] INFO  com.finalproject.web.filter.StaticResourceFilter  - Do service, URI: /bank-system/ui/images/hand.png
[http-bio-8888-exec-9] INFO  com.finalproject.web.filter.StaticResourceFilter  - Static resource: /ui/images/hand.png
[http-bio-8888-exec-9] INFO  com.finalproject.web.filter.AuthenticationFilter  - Path: /hand.png
[http-bio-8888-exec-9] INFO  com.finalproject.web.filter.AuthenticationFilter  - Page is not secured: /hand.png
[http-bio-8888-exec-6] INFO  com.finalproject.web.filter.AuthenticationFilter  - Path: /bulb.png
[http-bio-8888-exec-6] INFO  com.finalproject.web.filter.AuthenticationFilter  - Page is not secured: /bulb.png
[http-bio-8888-exec-6] INFO  com.finalproject.web.filter.StaticResourceFilter  - Do service, URI: /bank-system/ui/images/bulb.png
[http-bio-8888-exec-6] INFO  com.finalproject.web.filter.StaticResourceFilter  - Static resource: /ui/images/bulb.png
[http-bio-8888-exec-6] INFO  com.finalproject.web.filter.AuthenticationFilter  - Path: /bulb.png
[http-bio-8888-exec-6] INFO  com.finalproject.web.filter.AuthenticationFilter  - Page is not secured: /bulb.png
[http-bio-8888-exec-7] INFO  com.finalproject.web.filter.AuthenticationFilter  - Path: /pic2.jpg
[http-bio-8888-exec-8] INFO  com.finalproject.web.filter.AuthenticationFilter  - Page is not secured: /date.png
[http-bio-8888-exec-8] INFO  com.finalproject.web.filter.StaticResourceFilter  - Do service, URI: /bank-system/ui/images/date.png
[http-bio-8888-exec-8] INFO  com.finalproject.web.filter.StaticResourceFilter  - Static resource: /ui/images/date.png
[http-bio-8888-exec-8] INFO  com.finalproject.web.filter.AuthenticationFilter  - Path: /date.png
[http-bio-8888-exec-7] INFO  com.finalproject.web.filter.AuthenticationFilter  - Page is not secured: /pic2.jpg
[http-bio-8888-exec-8] INFO  com.finalproject.web.filter.AuthenticationFilter  - Page is not secured: /date.png
[http-bio-8888-exec-7] INFO  com.finalproject.web.filter.StaticResourceFilter  - Do service, URI: /bank-system/ui/images/pic2.jpg
[http-bio-8888-exec-7] INFO  com.finalproject.web.filter.StaticResourceFilter  - Static resource: /ui/images/pic2.jpg
[http-bio-8888-exec-7] INFO  com.finalproject.web.filter.AuthenticationFilter  - Path: /pic2.jpg
[http-bio-8888-exec-7] INFO  com.finalproject.web.filter.AuthenticationFilter  - Page is not secured: /pic2.jpg
[http-bio-8888-exec-6] INFO  com.finalproject.web.filter.AuthenticationFilter  - Path: /loading.gif
[http-bio-8888-exec-6] INFO  com.finalproject.web.filter.AuthenticationFilter  - Page is not secured: /loading.gif
[http-bio-8888-exec-6] INFO  com.finalproject.web.filter.StaticResourceFilter  - Do service, URI: /bank-system/ui/images/loading.gif
[http-bio-8888-exec-6] INFO  com.finalproject.web.filter.StaticResourceFilter  - Static resource: /ui/images/loading.gif
[http-bio-8888-exec-6] INFO  com.finalproject.web.filter.AuthenticationFilter  - Path: /loading.gif
[http-bio-8888-exec-6] INFO  com.finalproject.web.filter.AuthenticationFilter  - Page is not secured: /loading.gif
[http-bio-8888-exec-7] INFO  com.finalproject.web.filter.AuthenticationFilter  - Path: /marker.png
[http-bio-8888-exec-7] INFO  com.finalproject.web.filter.AuthenticationFilter  - Page is not secured: /marker.png
[http-bio-8888-exec-7] INFO  com.finalproject.web.filter.StaticResourceFilter  - Do service, URI: /bank-system/ui/images/marker.png
[http-bio-8888-exec-7] INFO  com.finalproject.web.filter.StaticResourceFilter  - Static resource: /ui/images/marker.png
[http-bio-8888-exec-7] INFO  com.finalproject.web.filter.AuthenticationFilter  - Path: /marker.png
[http-bio-8888-exec-7] INFO  com.finalproject.web.filter.AuthenticationFilter  - Page is not secured: /marker.png
[http-bio-8888-exec-6] INFO  com.finalproject.web.filter.AuthenticationFilter  - Path: /CaviarDreams-webfont.ttf
[http-bio-8888-exec-6] INFO  com.finalproject.web.filter.AuthenticationFilter  - Page is not secured: /CaviarDreams-webfont.ttf
[http-bio-8888-exec-6] INFO  com.finalproject.web.filter.StaticResourceFilter  - Do service, URI: /bank-system/ui/fonts/CaviarDreams-webfont.ttf
[http-bio-8888-exec-6] INFO  com.finalproject.web.filter.StaticResourceFilter  - Static resource: /ui/fonts/CaviarDreams-webfont.ttf
[http-bio-8888-exec-6] INFO  com.finalproject.web.filter.AuthenticationFilter  - Path: /CaviarDreams-webfont.ttf
[http-bio-8888-exec-6] INFO  com.finalproject.web.filter.AuthenticationFilter  - Page is not secured: /CaviarDreams-webfont.ttf
[http-bio-8888-exec-7] INFO  com.finalproject.web.filter.AuthenticationFilter  - Path: /BebasNeue-webfont.ttf
[http-bio-8888-exec-7] INFO  com.finalproject.web.filter.AuthenticationFilter  - Page is not secured: /BebasNeue-webfont.ttf
[http-bio-8888-exec-7] INFO  com.finalproject.web.filter.StaticResourceFilter  - Do service, URI: /bank-system/ui/fonts/BebasNeue-webfont.ttf
[http-bio-8888-exec-7] INFO  com.finalproject.web.filter.StaticResourceFilter  - Static resource: /ui/fonts/BebasNeue-webfont.ttf
[http-bio-8888-exec-7] INFO  com.finalproject.web.filter.AuthenticationFilter  - Path: /BebasNeue-webfont.ttf
[http-bio-8888-exec-7] INFO  com.finalproject.web.filter.AuthenticationFilter  - Page is not secured: /BebasNeue-webfont.ttf
[http-bio-8888-exec-6] INFO  com.finalproject.web.filter.AuthenticationFilter  - Path: /l-r-arrows.png
[http-bio-8888-exec-6] INFO  com.finalproject.web.filter.AuthenticationFilter  - Page is not secured: /l-r-arrows.png
[http-bio-8888-exec-6] INFO  com.finalproject.web.filter.StaticResourceFilter  - Do service, URI: /bank-system/ui/images/l-r-arrows.png
[http-bio-8888-exec-6] INFO  com.finalproject.web.filter.StaticResourceFilter  - Static resource: /ui/images/l-r-arrows.png
[http-bio-8888-exec-6] INFO  com.finalproject.web.filter.AuthenticationFilter  - Path: /l-r-arrows.png
[http-bio-8888-exec-6] INFO  com.finalproject.web.filter.AuthenticationFilter  - Page is not secured: /l-r-arrows.png
[http-bio-8888-exec-6] INFO  com.finalproject.web.filter.AuthenticationFilter  - Path: /contact
[http-bio-8888-exec-6] INFO  com.finalproject.web.filter.AuthenticationFilter  - Page is not secured: /contact
[http-bio-8888-exec-6] INFO  com.finalproject.web.filter.StaticResourceFilter  - Do service, URI: /bank-system/contact
[http-bio-8888-exec-6] INFO  com.finalproject.web.filter.StaticResourceFilter  - Non static resource: /contact. New Path: /app/contact
[http-bio-8888-exec-6] INFO  com.finalproject.web.servlets.DispatcherServlet  - Path: /contact
[http-bio-8888-exec-4] INFO  com.finalproject.web.filter.AuthenticationFilter  - Path: /log.js
[http-bio-8888-exec-4] INFO  com.finalproject.web.filter.AuthenticationFilter  - Page is not secured: /log.js
[http-bio-8888-exec-4] INFO  com.finalproject.web.filter.StaticResourceFilter  - Do service, URI: /bank-system/ui/js/log.js
[http-bio-8888-exec-4] INFO  com.finalproject.web.filter.StaticResourceFilter  - Static resource: /ui/js/log.js
[http-bio-8888-exec-4] INFO  com.finalproject.web.filter.AuthenticationFilter  - Path: /log.js
[http-bio-8888-exec-4] INFO  com.finalproject.web.filter.AuthenticationFilter  - Page is not secured: /log.js
[http-bio-8888-exec-4] INFO  com.finalproject.web.filter.AuthenticationFilter  - Path: /
[http-bio-8888-exec-4] INFO  com.finalproject.web.filter.AuthenticationFilter  - Page is not secured: /
[http-bio-8888-exec-4] INFO  com.finalproject.web.filter.StaticResourceFilter  - Do service, URI: /bank-system/
[http-bio-8888-exec-4] INFO  com.finalproject.web.filter.StaticResourceFilter  - Non static resource: /. New Path: /app/
[http-bio-8888-exec-4] INFO  com.finalproject.web.servlets.DispatcherServlet  - Path: /
[http-bio-8888-exec-4] INFO  com.finalproject.web.filter.AuthenticationFilter  - Path: /log.js
[http-bio-8888-exec-4] INFO  com.finalproject.web.filter.AuthenticationFilter  - Page is not secured: /log.js
[http-bio-8888-exec-4] INFO  com.finalproject.web.filter.StaticResourceFilter  - Do service, URI: /bank-system/ui/js/log.js
[http-bio-8888-exec-4] INFO  com.finalproject.web.filter.StaticResourceFilter  - Static resource: /ui/js/log.js
[http-bio-8888-exec-4] INFO  com.finalproject.web.filter.AuthenticationFilter  - Path: /log.js
[http-bio-8888-exec-4] INFO  com.finalproject.web.filter.AuthenticationFilter  - Page is not secured: /log.js
[http-bio-8888-exec-4] INFO  com.finalproject.web.filter.AuthenticationFilter  - Path: /loading.gif
[http-bio-8888-exec-4] INFO  com.finalproject.web.filter.AuthenticationFilter  - Page is not secured: /loading.gif
[http-bio-8888-exec-4] INFO  com.finalproject.web.filter.StaticResourceFilter  - Do service, URI: /bank-system/ui/images/loading.gif
[http-bio-8888-exec-4] INFO  com.finalproject.web.filter.StaticResourceFilter  - Static resource: /ui/images/loading.gif
[http-bio-8888-exec-4] INFO  com.finalproject.web.filter.AuthenticationFilter  - Path: /loading.gif
[http-bio-8888-exec-4] INFO  com.finalproject.web.filter.AuthenticationFilter  - Page is not secured: /loading.gif
[http-bio-8888-exec-4] INFO  com.finalproject.web.filter.AuthenticationFilter  - Path: /l-r-arrows.png
[http-bio-8888-exec-4] INFO  com.finalproject.web.filter.AuthenticationFilter  - Page is not secured: /l-r-arrows.png
[http-bio-8888-exec-4] INFO  com.finalproject.web.filter.StaticResourceFilter  - Do service, URI: /bank-system/ui/images/l-r-arrows.png
[http-bio-8888-exec-4] INFO  com.finalproject.web.filter.StaticResourceFilter  - Static resource: /ui/images/l-r-arrows.png
[http-bio-8888-exec-4] INFO  com.finalproject.web.filter.AuthenticationFilter  - Path: /l-r-arrows.png
[http-bio-8888-exec-4] INFO  com.finalproject.web.filter.AuthenticationFilter  - Page is not secured: /l-r-arrows.png
[http-bio-8888-exec-4] INFO  com.finalproject.web.filter.AuthenticationFilter  - Path: /account_info
[http-bio-8888-exec-4] INFO  com.finalproject.web.filter.AuthenticationFilter  - User not logged
[http-bio-8888-exec-1] INFO  com.finalproject.web.filter.AuthenticationFilter  - Path: /login.jsp
[http-bio-8888-exec-1] INFO  com.finalproject.web.filter.AuthenticationFilter  - Page is not secured: /login.jsp
[http-bio-8888-exec-1] INFO  com.finalproject.web.filter.StaticResourceFilter  - Do service, URI: /bank-system/ui/login.jsp
[http-bio-8888-exec-1] INFO  com.finalproject.web.filter.StaticResourceFilter  - Static resource: /ui/login.jsp
[http-bio-8888-exec-1] INFO  com.finalproject.web.filter.AuthenticationFilter  - Path: /login.jsp
[http-bio-8888-exec-1] INFO  com.finalproject.web.filter.AuthenticationFilter  - Page is not secured: /login.jsp
[http-bio-8888-exec-1] INFO  com.finalproject.web.filter.AuthenticationFilter  - Path: /registration.css
[http-bio-8888-exec-1] INFO  com.finalproject.web.filter.AuthenticationFilter  - Page is not secured: /registration.css
[http-bio-8888-exec-1] INFO  com.finalproject.web.filter.StaticResourceFilter  - Do service, URI: /bank-system/ui/css/registration.css
[http-bio-8888-exec-1] INFO  com.finalproject.web.filter.StaticResourceFilter  - Static resource: /ui/css/registration.css
[http-bio-8888-exec-1] INFO  com.finalproject.web.filter.AuthenticationFilter  - Path: /registration.css
[http-bio-8888-exec-1] INFO  com.finalproject.web.filter.AuthenticationFilter  - Page is not secured: /registration.css
[http-bio-8888-exec-7] INFO  com.finalproject.web.filter.AuthenticationFilter  - Path: /registration.css
[http-bio-8888-exec-7] INFO  com.finalproject.web.filter.AuthenticationFilter  - Page is not secured: /registration.css
[http-bio-8888-exec-7] INFO  com.finalproject.web.filter.StaticResourceFilter  - Do service, URI: /bank-system/css/registration.css
[http-bio-8888-exec-7] INFO  com.finalproject.web.filter.StaticResourceFilter  - Non static resource: /css/registration.css. New Path: /app/css/registration.css
[http-bio-8888-exec-7] INFO  com.finalproject.web.servlets.DispatcherServlet  - Path: /registration.css
[http-bio-8888-exec-1] INFO  com.finalproject.web.filter.AuthenticationFilter  - Path: /404.jsp
[http-bio-8888-exec-1] INFO  com.finalproject.web.filter.AuthenticationFilter  - Page is not secured: /404.jsp
[http-bio-8888-exec-1] INFO  com.finalproject.web.filter.StaticResourceFilter  - Do service, URI: /bank-system/ui/errors/404.jsp
[http-bio-8888-exec-1] INFO  com.finalproject.web.filter.StaticResourceFilter  - Static resource: /ui/errors/404.jsp
[http-bio-8888-exec-1] INFO  com.finalproject.web.filter.AuthenticationFilter  - Path: /404.jsp
[http-bio-8888-exec-1] INFO  com.finalproject.web.filter.AuthenticationFilter  - Page is not secured: /404.jsp
[http-bio-8888-exec-1] INFO  com.finalproject.web.filter.AuthenticationFilter  - Path: /language
[http-bio-8888-exec-1] INFO  com.finalproject.web.filter.AuthenticationFilter  - Page is not secured: /language
[http-bio-8888-exec-1] INFO  com.finalproject.web.filter.StaticResourceFilter  - Do service, URI: /bank-system/language
[http-bio-8888-exec-1] INFO  com.finalproject.web.filter.StaticResourceFilter  - Non static resource: /language. New Path: /app/language
[http-bio-8888-exec-1] INFO  com.finalproject.web.servlets.DispatcherServlet  - Path: /language
[http-bio-8888-exec-1] INFO  com.finalproject.web.filter.AuthenticationFilter  - Path: /
[http-bio-8888-exec-1] INFO  com.finalproject.web.filter.AuthenticationFilter  - Page is not secured: /
[http-bio-8888-exec-1] INFO  com.finalproject.web.filter.StaticResourceFilter  - Do service, URI: /bank-system/
[http-bio-8888-exec-1] INFO  com.finalproject.web.filter.StaticResourceFilter  - Non static resource: /. New Path: /app/
[http-bio-8888-exec-1] INFO  com.finalproject.web.servlets.DispatcherServlet  - Path: /
[http-bio-8888-exec-1] INFO  com.finalproject.web.filter.AuthenticationFilter  - Path: /log.js
[http-bio-8888-exec-1] INFO  com.finalproject.web.filter.AuthenticationFilter  - Page is not secured: /log.js
[http-bio-8888-exec-1] INFO  com.finalproject.web.filter.StaticResourceFilter  - Do service, URI: /bank-system/ui/js/log.js
[http-bio-8888-exec-1] INFO  com.finalproject.web.filter.StaticResourceFilter  - Static resource: /ui/js/log.js
[http-bio-8888-exec-1] INFO  com.finalproject.web.filter.AuthenticationFilter  - Path: /log.js
[http-bio-8888-exec-1] INFO  com.finalproject.web.filter.AuthenticationFilter  - Page is not secured: /log.js
[http-bio-8888-exec-1] INFO  com.finalproject.web.filter.AuthenticationFilter  - Path: /loading.gif
[http-bio-8888-exec-1] INFO  com.finalproject.web.filter.AuthenticationFilter  - Page is not secured: /loading.gif
[http-bio-8888-exec-1] INFO  com.finalproject.web.filter.StaticResourceFilter  - Do service, URI: /bank-system/ui/images/loading.gif
[http-bio-8888-exec-1] INFO  com.finalproject.web.filter.StaticResourceFilter  - Static resource: /ui/images/loading.gif
[http-bio-8888-exec-1] INFO  com.finalproject.web.filter.AuthenticationFilter  - Path: /loading.gif
[http-bio-8888-exec-1] INFO  com.finalproject.web.filter.AuthenticationFilter  - Page is not secured: /loading.gif
[http-bio-8888-exec-1] INFO  com.finalproject.web.filter.AuthenticationFilter  - Path: /l-r-arrows.png
[http-bio-8888-exec-1] INFO  com.finalproject.web.filter.AuthenticationFilter  - Page is not secured: /l-r-arrows.png
[http-bio-8888-exec-1] INFO  com.finalproject.web.filter.StaticResourceFilter  - Do service, URI: /bank-system/ui/images/l-r-arrows.png
[http-bio-8888-exec-1] INFO  com.finalproject.web.filter.StaticResourceFilter  - Static resource: /ui/images/l-r-arrows.png
[http-bio-8888-exec-1] INFO  com.finalproject.web.filter.AuthenticationFilter  - Path: /l-r-arrows.png
[http-bio-8888-exec-1] INFO  com.finalproject.web.filter.AuthenticationFilter  - Page is not secured: /l-r-arrows.png
[http-bio-8888-exec-1] INFO  com.finalproject.web.filter.AuthenticationFilter  - Path: /language
[http-bio-8888-exec-1] INFO  com.finalproject.web.filter.AuthenticationFilter  - Page is not secured: /language
[http-bio-8888-exec-1] INFO  com.finalproject.web.filter.StaticResourceFilter  - Do service, URI: /bank-system/language
[http-bio-8888-exec-1] INFO  com.finalproject.web.filter.StaticResourceFilter  - Non static resource: /language. New Path: /app/language
[http-bio-8888-exec-1] INFO  com.finalproject.web.servlets.DispatcherServlet  - Path: /language
[http-bio-8888-exec-1] INFO  com.finalproject.web.filter.AuthenticationFilter  - Path: /
[http-bio-8888-exec-1] INFO  com.finalproject.web.filter.AuthenticationFilter  - Page is not secured: /
